Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-06-30,17.1,18.0,16.7,18.0,17.9,5574.0,0.95
2015-03-31,18.0,18.3,17.05,17.65,17.55,43377.0,7.66
2014-12-31,23.3,23.3,22.1,22.6,22.6,2596.0,0.58
2014-09-30,18.9,18.9,17.5,18.7,18.35,6425.0,1.18
2014-06-30,21.5,21.5,20.45,21.1,21.1,5710.0,1.19
2014-03-31,20.35,20.35,20.0,20.2,20.0,5386.0,1.08
2013-12-31,19.6,20.65,19.2,19.75,19.8,39536.0,7.85
2013-09-30,18.9,18.9,17.9,18.45,18.25,10574.0,1.96
2013-06-30,23.4,23.45,22.8,22.8,23.15,5439.0,1.27
2013-03-31,30.0,30.0,25.2,29.9,29.55,56533.0,16.57
2012-12-31,24.5,25.9,24.5,25.5,25.5,3899.0,0.99
2012-09-30,26.1,27.9,26.1,27.9,27.9,17964.0,4.96
2012-06-30,26.15,27.5,26.15,26.7,27.0,84848.0,22.87
2012-03-31,19.9,22.4,18.25,20.7,21.7,307464.0,64.9
2011-12-31,16.4,17.4,15.5,17.25,17.0,102952.0,17.31
2011-09-30,11.55,12.0,11.4,11.9,11.8,42031.0,4.95
2011-06-30,30.0,32.3,28.75,30.25,30.05,646066.0,196.14
2011-03-31,43.5,43.5,38.0,40.3,40.55,689614.0,282.67
2010-12-31,47.0,47.0,45.05,45.45,45.4,52464.0,23.93
2010-09-30,45.4,45.9,44.35,44.35,44.5,55015.0,24.68
2010-06-30,42.4,45.5,42.1,43.5,43.65,121239.0,53.23
2010-03-31,44.3,44.3,37.1,39.5,39.55,171905.0,68.53
2009-12-31,56.8,61.9,56.8,59.1,59.3,376672.0,225.62
2009-09-30,75.0,80.3,74.3,79.4,79.5,1188278.0,929.34
2015-09-30,9.9,9.9,9.5,9.55,9.6,183701.0,17.66
2015-06-30,10.05,10.75,10.0,10.75,10.75,1213417.0,129.86
2015-03-31,4.0,4.2,3.8,3.8,3.9,151623.0,6.24
2014-12-31,5.95,5.95,5.8,5.9,5.85,69234.0,4.05
2014-09-30,7.3,7.35,7.2,7.3,7.25,86142.0,6.26
2014-06-30,11.25,11.45,11.0,11.45,11.45,192083.0,21.92
2014-03-31,6.95,7.25,6.95,7.2,7.15,80772.0,5.74
2013-12-31,9.5,9.5,8.9,9.35,9.4,156025.0,14.54
2013-09-30,9.15,9.15,7.85,7.95,8.0,243221.0,20.13
2013-06-30,5.9,5.9,5.3,5.7,5.75,90944.0,5.14
2013-03-31,8.4,8.7,8.3,8.35,8.4,72602.0,6.11
2012-12-31,15.25,15.45,14.95,15.1,15.1,115523.0,17.43
2012-09-30,15.5,15.95,15.5,15.85,15.85,139166.0,22.04
2012-06-30,15.75,15.95,15.5,15.95,15.85,126560.0,20.0
2012-03-31,15.0,17.7,15.0,17.65,17.55,73091.0,12.73
2011-12-31,15.1,15.8,15.1,15.6,15.6,33964.0,5.24
2011-09-30,19.8,19.8,19.2,19.45,19.4,44841.0,8.71
2011-06-30,24.45,24.45,24.05,24.3,24.3,62764.0,15.24
2011-03-31,28.0,28.0,26.55,27.1,27.0,87980.0,23.9
2010-12-31,34.0,34.2,33.7,34.0,33.95,145180.0,49.46
2010-09-30,41.3,42.0,41.2,41.5,41.4,109534.0,45.46
2010-06-30,42.0,42.7,42.0,42.6,42.45,50687.0,21.53
2010-03-31,49.0,49.2,48.65,49.0,49.0,55210.0,27.01
2009-12-31,57.5,57.95,56.2,56.65,56.5,188876.0,108.01
2009-09-30,60.95,62.4,60.6,61.3,61.25,264984.0,163.11
2009-06-30,61.2,61.2,55.3,55.75,55.8,263272.0,151.18
2009-03-31,42.2,42.6,41.85,41.95,42.0,49605.0,20.88
2008-12-31,45.4,46.8,45.05,45.45,45.25,50688.0,23.24
2008-09-30,56.75,57.9,51.0,56.9,57.0,58274.0,32.31
2008-06-30,69.75,69.75,65.0,65.5,65.4,62639.0,41.73
2008-03-31,74.95,75.75,71.5,71.65,72.1,217122.0,160.21
2007-12-31,98.8,102.75,97.5,99.85,99.4,1359179.0,1365.33
2007-09-30,67.9,67.9,64.0,65.6,65.45,162357.0,106.57
2007-06-30,56.1,63.4,55.85,60.6,60.85,844747.0,515.03
2007-03-31,50.2,52.35,50.2,52.0,52.05,95042.0,49.08
2006-12-31,64.1,66.7,64.1,65.25,65.5,294982.0,194.12
2006-09-30,73.05,75.6,73.05,75.25,75.25,149170.0,111.8
2006-06-30,71.9,73.5,69.5,70.1,70.2,74497.0,52.32
2006-03-31,71.95,76.75,71.95,75.8,75.7,932284.0,699.52
2005-12-31,64.7,66.5,64.65,65.8,65.8,417910.0,274.88
2005-09-30,58.95,59.0,56.0,57.1,56.95,834986.0,475.55
2005-06-30,35.4,35.45,34.7,34.8,34.9,131939.0,46.13
2005-03-31,33.65,34.5,33.3,34.3,34.1,452285.0,153.15
2004-12-31,33.45,33.45,32.25,32.8,32.7,206742.0,67.49
2004-09-30,24.4,25.0,24.1,24.3,24.3,231127.0,57.04
2004-06-30,20.7,21.5,20.65,20.75,20.75,223419.0,47.19
2004-03-31,23.05,23.15,22.4,22.7,22.6,217886.0,49.29
2003-12-31,27.8,28.2,27.05,27.95,27.85,909497.0,250.51
2003-09-30,14.6,14.7,13.5,14.0,13.75,276711.0,39.26
2003-06-30,13.0,13.25,12.95,13.1,13.05,100110.0,13.11
2003-03-31,9.1,9.1,8.95,9.0,8.95,69770.0,6.31
2002-12-31,9.05,9.2,9.05,9.1,9.15,7850.0,0.72
2002-09-30,10.0,10.0,9.8,9.8,9.85,10528.0,1.04
2002-06-30,12.5,12.75,12.3,12.75,12.6,13725.0,1.72
2002-03-31,11.55,11.85,11.4,11.45,11.45,8300.0,0.96
2001-12-31,10.9,10.95,10.65,10.95,10.9,1500.0,0.16
2001-09-30,10.4,10.8,10.2,10.2,10.2,600.0,0.06
2001-06-30,11.35,12.0,11.35,11.55,11.95,6350.0,0.75
2001-03-31,12.9,12.9,11.8,12.6,12.5,11800.0,1.45
2000-12-31,13.6,13.75,13.25,13.25,13.35,13000.0,1.74
2000-09-30,14.0,14.0,13.5,14.0,14.0,4600.0,0.64
2000-06-30,9.9,10.15,9.8,10.0,10.0,1700.0,0.17
2000-03-31,10.5,11.0,10.45,10.95,10.95,6300.0,0.67
1999-12-31,13.65,13.7,13.3,13.4,13.35,5300.0,0.71
1999-09-30,11.1,11.9,11.1,11.8,11.85,8300.0,0.96
1999-06-30,10.2,11.0,10.2,10.7,10.75,14100.0,1.51
1999-03-31,9.75,9.75,9.5,9.6,9.6,1600.0,0.15
1998-12-31,12.05,12.5,12.05,12.35,12.35,1500.0,0.19
1998-09-30,12.5,12.95,12.5,12.75,12.75,5700.0,0.73
1998-06-30,15.75,16.1,15.6,16.05,15.95,6100.0,0.97
1998-03-31,13.8,13.85,13.7,13.7,13.7,5700.0,0.78
2012-09-30,24.0,25.4,23.5,25.15,25.05,117432.0,28.56
2016-03-31,8.6,8.6,8.6,8.6,8.6,50.0,0.0
2015-09-30,10.0,10.9,9.6,10.0,10.0,2352.0,0.23
2015-06-30,9.55,9.6,9.55,9.6,9.6,422.0,0.04
2015-03-31,11.55,11.55,10.55,10.55,10.85,8621.0,0.95
2014-12-31,15.6,16.5,14.85,15.0,15.0,56347.0,8.51
2014-09-30,18.5,18.5,18.45,18.45,18.45,4.0,0.0
2014-06-30,20.4,22.0,20.2,20.45,20.45,711.0,0.15
2014-03-31,14.4,15.15,14.4,15.15,15.15,794.0,0.12
2013-06-30,28.0,28.0,25.3,27.75,27.6,217.0,0.06
2013-03-31,26.5,26.5,24.15,26.5,25.0,1721.0,0.45
2012-12-31,36.5,36.85,36.5,36.85,36.85,426.0,0.16
2012-09-30,34.5,41.65,34.05,40.6,40.75,88510.0,35.11
2012-06-30,34.0,35.7,32.35,33.45,33.45,812.0,0.27
2012-03-31,36.0,36.0,36.0,36.0,36.0,100.0,0.04
2011-12-31,32.25,35.0,32.25,33.3,34.9,448.0,0.16
2011-09-30,47.0,53.0,46.2,46.2,46.9,4187.0,1.99
2011-06-30,54.25,57.0,54.25,54.3,54.85,2571.0,1.42
2011-03-31,61.9,63.6,56.0,58.5,56.95,178112.0,105.01
2010-12-31,53.25,53.5,53.15,53.5,53.3,1529.0,0.81
2010-09-30,60.0,60.75,60.0,60.75,60.75,2834.0,1.71
2010-06-30,52.6,53.9,52.6,53.05,53.25,4813.0,2.57
2010-03-31,49.3,51.35,48.1,49.05,49.8,51247.0,25.66
2009-12-31,55.8,56.2,54.75,55.45,55.45,10598.0,5.86
2009-09-30,56.0,57.0,55.35,56.0,56.05,16499.0,9.24
2009-06-30,50.0,51.0,47.0,48.3,48.3,2719.0,1.31
2009-03-31,29.75,31.95,29.75,30.55,30.55,386.0,0.12
2008-12-31,31.1,32.5,31.1,32.25,32.4,1952.0,0.63
2008-09-30,48.1,51.8,48.0,50.9,51.0,6586.0,3.35
2008-06-30,65.25,67.0,64.6,65.1,64.95,7621.0,5.02
2008-03-31,82.4,82.95,78.0,79.6,79.7,8308.0,6.73
2007-12-31,101.0,103.0,100.05,102.25,101.7,30630.0,31.23
2007-09-30,76.1,77.85,76.1,76.75,76.75,6375.0,4.91
2007-06-30,78.0,84.5,77.3,83.25,82.25,61953.0,50.46
2007-03-31,60.4,62.6,60.0,60.0,60.85,5529.0,3.4
2006-12-31,68.6,69.0,67.6,69.0,68.85,1217.0,0.83
2006-09-30,89.1,90.85,88.3,90.6,89.85,7235.0,6.47
2006-06-30,71.2,73.0,71.2,72.0,71.7,6505.0,4.69
2006-03-31,98.0,100.5,96.9,100.0,99.65,30831.0,30.64
2005-12-31,92.05,95.85,92.05,93.1,93.2,5090.0,4.77
2005-09-30,102.85,102.85,99.65,102.0,101.85,13984.0,14.11
2005-06-30,95.55,96.5,93.8,94.0,94.2,12985.0,12.34
2005-03-31,103.0,106.5,99.5,104.0,104.1,193059.0,198.58
2004-12-31,108.0,109.8,106.6,107.8,108.4,45995.0,49.69
2004-09-30,80.0,83.0,78.0,81.4,81.85,48163.0,38.79
2004-06-30,82.4,82.5,81.5,81.55,81.55,2165.0,1.78
2004-03-31,75.0,78.5,74.2,75.0,74.5,2865.0,2.16
2003-12-31,94.95,101.0,94.95,100.0,99.3,19105.0,19.11
2003-09-30,62.0,62.8,61.3,61.75,61.85,3647.0,2.26
2003-06-30,60.5,61.9,59.0,60.8,60.55,26050.0,15.73
2003-03-31,32.95,33.6,31.9,32.3,32.3,1471.0,0.48
2002-12-31,31.8,34.45,31.75,34.45,34.15,405.0,0.13
2002-09-30,38.95,38.95,35.5,36.5,37.45,150.0,0.06
2002-06-30,42.5,45.85,42.5,44.65,45.4,53403.0,23.73
2002-03-31,27.9,28.0,27.5,28.0,28.0,700.0,0.19
2001-12-31,23.1,23.1,23.1,23.1,23.1,200.0,0.05
2001-09-30,22.0,22.0,22.0,22.0,22.0,600.0,0.13
2001-06-30,27.4,27.4,27.4,26.3,27.4,42.0,0.01
2001-03-31,27.55,27.55,26.0,26.0,26.0,300.0,0.08
2000-12-31,27.5,27.5,27.5,27.5,27.5,100.0,0.03
2000-09-30,23.0,23.0,23.0,23.0,23.0,500.0,0.12
2000-06-30,33.05,33.9,32.55,33.75,33.8,6900.0,2.31
2000-03-31,22.25,23.95,22.25,23.95,23.95,900.0,0.21
1999-12-31,24.25,24.25,24.25,24.25,24.25,400.0,0.1
1999-09-30,30.0,31.3,28.0,28.0,28.0,6600.0,1.94
1999-06-30,28.75,29.95,27.65,28.9,28.9,9600.0,2.76
1999-03-31,17.85,17.85,17.85,17.85,17.85,100.0,0.02
1998-12-31,21.5,22.0,21.5,22.0,22.0,200.0,0.04
1998-09-30,20.2,20.2,20.2,20.2,20.2,200.0,0.04
1998-06-30,28.1,28.15,28.05,28.15,28.1,1000.0,0.28
1998-03-31,21.9,22.0,21.9,22.0,22.0,200.0,0.04
2014-09-30,11.3,11.55,10.45,11.55,11.4,14665.0,1.59
2014-06-30,18.0,18.7,17.85,18.4,18.4,12961.0,2.38
2014-03-31,9.15,9.15,8.75,9.15,9.15,3633.0,0.33
2013-09-30,18.05,18.15,17.6,18.0,18.05,7662.0,1.39
2013-06-30,13.7,14.4,13.7,14.4,14.4,6258.0,0.89
2013-03-31,22.6,23.65,21.75,22.2,22.3,22151.0,5.0
2012-12-31,38.0,38.75,37.25,37.55,37.7,10686.0,4.03
2012-09-30,46.0,46.4,40.95,41.6,42.1,216168.0,93.83
2012-06-30,36.6,37.9,36.3,37.5,37.35,21096.0,7.84
2012-03-31,39.25,41.75,38.8,38.9,39.1,20828.0,8.23
2011-12-31,31.5,34.35,31.5,32.0,32.0,7564.0,2.46
2011-09-30,52.0,52.5,50.1,50.1,50.35,6681.0,3.4
2011-06-30,73.5,74.5,72.1,72.9,73.4,29163.0,21.51
2011-03-31,95.0,96.0,89.0,90.3,90.45,102116.0,95.51
2010-12-31,161.65,166.8,159.55,162.8,162.6,89782.0,147.1
2010-09-30,205.1,205.9,202.0,203.85,202.95,38533.0,78.67
2010-06-30,180.5,187.9,180.5,186.95,185.05,37626.0,69.6
2010-03-31,132.1,133.9,131.0,132.4,132.25,5941.0,7.89
2009-12-31,120.3,122.5,120.0,121.0,121.8,61921.0,75.18
2009-09-30,80.5,82.95,79.5,79.55,79.75,13370.0,10.81
2009-06-30,90.0,91.95,86.0,89.25,87.7,14411.0,12.97
2001-06-30,3.85,3.85,3.85,3.85,3.85,200.0,0.01
2001-03-31,4.3,4.5,4.3,4.5,4.5,150.0,0.01
2000-12-31,8.5,10.45,8.5,10.0,10.05,4700.0,0.44
2000-09-30,5.5,5.65,5.5,5.65,5.65,1150.0,0.06
2000-06-30,8.5,8.5,8.5,8.5,8.5,250.0,0.02
2000-03-31,10.45,11.15,10.25,11.15,11.15,2800.0,0.3
1999-12-31,19.0,22.4,18.0,18.5,18.5,3500.0,0.68
1999-09-30,15.0,16.15,15.0,15.8,15.8,3150.0,0.5
1999-06-30,12.25,13.95,11.5,13.95,13.0,12700.0,1.59
1999-03-31,14.0,14.0,12.25,13.4,13.4,3700.0,0.49
1998-12-31,7.75,7.75,7.75,7.75,7.75,50.0,0.0
1998-09-30,8.0,8.0,7.2,7.2,7.2,200.0,0.02
1998-06-30,7.8,8.0,7.8,8.0,7.95,1650.0,0.13
1998-03-31,7.25,7.25,7.0,7.05,7.05,600.0,0.04
2013-06-30,4.25,4.3,4.2,4.3,4.3,13000.0,0.56
2013-03-31,3.5,3.5,2.85,2.85,3.2,2574.0,0.09
2012-12-31,5.25,5.25,5.25,5.25,5.25,200.0,0.01
2012-09-30,5.8,6.2,5.6,6.2,6.2,1274.0,0.08
2012-06-30,7.3,7.75,7.3,7.4,7.5,6127.0,0.46
2012-03-31,9.3,9.4,8.75,8.8,8.8,11407.0,1.03
2011-12-31,8.95,10.45,8.65,10.1,9.25,5231.0,0.47
2011-09-30,11.8,12.7,11.8,12.15,12.15,655.0,0.08
2011-06-30,15.5,16.1,15.5,16.1,16.1,523.0,0.08
2011-03-31,18.0,18.1,17.15,18.1,18.1,760.0,0.14
2010-12-31,20.7,21.0,20.05,21.0,20.95,5056.0,1.04
2010-09-30,26.0,28.0,25.85,26.6,26.95,15872.0,4.35
2010-06-30,21.6,22.5,21.05,22.0,21.85,2691.0,0.58
2010-03-31,20.8,20.85,20.15,20.85,20.85,715.0,0.15
2009-12-31,25.0,25.0,23.7,24.45,23.9,3761.0,0.91
2009-09-30,25.6,26.15,25.2,25.4,25.4,3694.0,0.95
2009-06-30,21.5,22.5,21.5,22.4,22.4,2099.0,0.46
2009-03-31,11.5,11.95,11.15,11.25,11.25,10706.0,1.21
2015-06-30,226.0,229.4,216.0,220.4,220.15,6674219.0,14738.23
2015-03-31,190.7,196.0,188.6,189.8,189.5,5909964.0,11335.1
2014-12-31,213.6,215.35,211.7,214.2,214.5,1973680.0,4226.05
2014-09-30,269.1,279.2,266.15,272.8,272.5,4663762.0,12742.15
2014-06-30,289.35,293.8,289.35,292.0,292.35,2851502.0,8333.73
2014-03-31,183.15,189.35,181.7,187.85,188.55,9382685.0,17487.07
2013-12-31,204.1,205.0,201.5,201.8,201.95,2705105.0,5487.6
2012-09-30,409.5,422.0,408.8,413.85,413.05,257992.0,1075.21
2012-06-30,384.0,394.0,382.05,391.5,391.35,117063.0,455.12
2012-03-31,342.1,358.5,342.1,355.5,355.7,114918.0,405.62
2011-12-31,294.0,299.4,285.0,298.2,296.3,72991.0,214.14
2011-09-30,517.9,533.2,516.0,520.0,519.9,42435.0,222.33
2011-06-30,528.0,529.8,509.05,512.5,512.15,316617.0,1635.19
2011-03-31,597.6,602.0,565.25,591.15,589.7,128456.0,751.4
2010-12-31,692.95,696.5,683.05,689.0,686.85,24587.0,169.41
2010-09-30,815.5,830.0,791.0,820.0,815.2,313937.0,2540.11
2010-06-30,647.95,678.0,645.0,670.1,671.55,243991.0,1635.39
2010-03-31,630.0,631.0,615.15,631.0,624.65,103318.0,642.15
2009-12-31,575.0,577.0,563.05,570.0,568.3,231604.0,1316.5
2009-09-30,548.0,565.5,548.0,552.9,552.35,225406.0,1254.68
2009-06-30,529.9,570.0,480.0,485.0,486.2,598467.0,3096.82
2009-03-31,283.0,293.0,275.1,281.0,279.35,235891.0,669.65
2008-12-31,241.0,247.5,237.55,239.9,240.25,28459.0,69.03
2008-09-30,345.0,371.0,336.0,369.0,364.25,94271.0,334.33
2008-06-30,364.8,369.0,337.1,339.0,342.8,53717.0,188.35
2008-03-31,529.0,592.9,529.0,578.0,580.95,129106.0,735.7
2007-12-31,1008.0,1024.7,998.0,1013.0,1006.35,63666.0,642.87
2007-09-30,796.0,842.0,792.0,827.6,831.9,502421.0,4126.64
2007-06-30,819.0,824.9,800.65,803.15,806.4,661154.0,5372.75
2007-03-31,393.0,404.0,393.0,398.0,397.75,75107.0,299.8
2006-12-31,459.9,469.6,456.0,461.0,461.95,296982.0,1377.01
2006-09-30,338.0,355.0,316.0,351.3,349.8,1156840.0,3989.24
2006-06-30,230.0,239.9,226.0,236.0,233.85,100721.0,232.76
2006-03-31,377.6,377.9,367.05,368.5,369.35,211788.0,790.23
2005-12-31,213.0,219.95,211.75,217.0,216.55,218403.0,473.89
2005-09-30,198.0,199.05,192.0,193.8,193.65,54006.0,105.1
2005-06-30,207.9,215.15,207.0,207.5,208.6,102923.0,216.58
2005-03-31,178.7,184.75,176.2,181.5,180.45,180344.0,325.27
2004-12-31,159.8,159.8,154.2,155.25,155.6,34722.0,54.13
2004-09-30,142.0,143.0,138.1,139.4,139.0,39629.0,55.81
2004-06-30,89.5,89.6,85.05,86.35,86.95,34719.0,30.22
2004-03-31,113.7,113.7,111.0,112.2,112.35,12632.0,14.21
2003-12-31,145.0,147.8,134.6,137.65,137.05,279500.0,395.46
2003-09-30,141.0,142.0,133.0,140.0,135.6,54532.0,74.58
2003-06-30,102.0,122.4,102.0,122.4,122.4,460600.0,532.67
2015-12-31,35.0,35.2,34.8,34.8,34.8,8932.0,3.13
2016-03-31,25.1,25.5,23.3,24.0,24.0,190262.0,46.57
2015-12-31,24.5,25.5,24.35,24.85,24.9,77030.0,19.19
2015-09-30,20.15,20.3,19.5,19.55,19.6,59653.0,11.87
2015-06-30,21.5,22.2,21.5,22.0,21.8,53868.0,11.73
2015-03-31,26.9,28.8,26.9,27.6,28.1,56709.0,15.86
2014-12-31,34.65,35.8,33.8,34.15,34.15,66204.0,22.98
2014-09-30,32.4,32.45,30.15,30.4,30.3,42323.0,13.17
2014-06-30,39.6,40.3,38.9,38.9,39.1,182397.0,72.16
2014-03-31,20.8,21.2,20.55,20.7,20.65,33086.0,6.84
2013-12-31,21.7,21.95,21.55,21.6,21.65,3784.0,0.82
2013-09-30,20.4,20.8,20.0,20.05,20.1,7830.0,1.58
2013-06-30,19.5,20.25,19.25,20.0,19.95,21143.0,4.2
2013-03-31,21.0,22.3,20.65,22.0,22.1,8617.0,1.86
2012-12-31,28.4,29.0,28.4,28.65,28.6,12151.0,3.49
2012-09-30,31.0,31.5,30.05,30.05,30.2,100422.0,30.69
2012-06-30,28.3,28.6,27.7,28.0,27.9,43046.0,12.12
2012-03-31,30.5,30.75,29.85,30.3,30.2,19273.0,5.85
2011-12-31,24.2,24.2,22.3,22.6,22.9,50438.0,11.77
2011-09-30,34.2,34.7,33.5,33.6,33.65,16477.0,5.6
2011-06-30,38.8,39.6,38.7,39.1,39.1,125464.0,49.13
2011-03-31,39.95,40.0,39.0,39.3,39.15,76533.0,30.21
2010-12-31,51.0,52.45,51.0,51.5,51.45,117429.0,60.67
2010-09-30,47.8,49.3,47.6,48.1,48.1,74193.0,36.0
2010-06-30,51.0,52.15,50.5,51.55,51.5,134882.0,69.5
2010-03-31,46.9,46.95,45.05,45.6,45.45,121888.0,56.4
2009-12-31,39.0,39.3,38.55,38.7,38.65,21136.0,8.24
2009-09-30,40.15,42.75,39.5,40.5,40.65,175703.0,72.48
2009-06-30,46.9,47.85,43.5,43.55,43.55,60249.0,27.28
2009-03-31,23.35,23.35,21.0,21.8,21.85,32534.0,7.27
2008-12-31,18.8,19.25,18.3,18.3,18.45,5221.0,0.98
2008-09-30,22.0,25.9,22.0,24.7,24.95,34690.0,8.46
2008-06-30,26.7,27.5,25.8,25.8,25.9,9445.0,2.5
2008-03-31,22.5,23.55,22.1,22.7,22.4,27964.0,6.38
2007-12-31,46.85,46.9,45.15,46.9,46.9,26583.0,12.44
2007-09-30,26.75,29.85,26.4,28.5,28.65,362307.0,102.75
2007-06-30,22.45,23.6,22.45,23.25,23.4,23079.0,5.34
2007-03-31,20.45,20.55,20.25,20.3,20.3,6170.0,1.26
2006-12-31,22.7,22.85,22.5,22.6,22.6,6788.0,1.54
2006-09-30,25.0,25.4,24.95,24.95,25.0,22229.0,5.58
2006-06-30,22.6,23.4,22.55,22.9,22.8,11486.0,2.62
2006-03-31,27.3,29.9,27.0,27.7,27.5,125083.0,35.13
2005-12-31,34.75,34.75,33.55,34.0,33.85,37446.0,12.8
2005-09-30,29.75,32.35,29.7,30.15,30.25,22965.0,6.94
2005-06-30,30.0,30.0,28.65,29.0,29.05,5653.0,1.66
2005-03-31,24.05,26.8,24.05,25.4,25.5,163403.0,42.15
2004-12-31,33.35,33.35,32.45,32.6,32.7,42558.0,13.93
2004-09-30,30.25,31.95,30.05,30.85,30.4,86844.0,26.9
2004-06-30,25.0,29.4,25.0,28.35,28.15,9454.0,2.69
2004-03-31,24.5,24.5,24.0,24.5,24.15,5150.0,1.25
2003-12-31,38.05,39.1,37.0,37.5,37.45,17104.0,6.45
2003-09-30,24.25,24.95,24.0,24.4,24.05,6019.0,1.46
2003-06-30,33.45,35.8,33.1,34.65,34.55,90970.0,31.41
2003-03-31,23.9,24.7,22.25,22.55,22.8,11936.0,2.75
2002-12-31,36.0,36.7,34.1,34.1,34.35,117373.0,41.16
2002-09-30,23.0,23.25,21.0,21.5,21.45,12214.0,2.68
2002-06-30,46.8,47.05,45.1,45.5,45.25,30927.0,14.23
2002-03-31,4.6,4.6,4.6,4.6,4.6,200.0,0.01
2001-12-31,5.0,5.0,5.0,5.0,5.0,49.0,0.0
2001-09-30,6.5,6.5,5.0,5.0,5.0,1850.0,0.1
2001-06-30,9.0,9.0,9.0,7.05,9.0,100.0,0.01
2001-03-31,10.0,10.0,10.0,10.0,10.0,1.0,0.0
2000-12-31,9.75,10.0,9.75,10.0,10.0,800.0,0.08
2000-09-30,12.0,12.0,12.0,12.0,12.0,2.0,0.0
2000-06-30,10.8,10.8,10.8,10.8,10.8,100.0,0.01
2000-03-31,13.0,13.0,13.0,13.0,13.0,100.0,0.01
1999-12-31,19.5,19.5,19.5,19.5,19.5,100.0,0.02
1999-09-30,9.5,9.5,9.5,9.5,9.5,400.0,0.04
1999-06-30,7.0,7.0,7.0,7.0,7.0,200.0,0.01
1999-03-31,7.55,8.5,7.5,8.5,8.5,400.0,0.03
1998-12-31,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-09-30,7.5,7.5,7.5,7.5,7.5,200.0,0.02
1998-06-30,12.0,13.25,12.0,13.25,13.25,300.0,0.04
1998-03-31,17.85,17.85,17.85,17.85,17.85,100.0,0.02
2016-03-31,8.05,8.15,7.2,7.5,7.65,376727.0,28.67
2015-12-31,8.35,8.5,8.2,8.2,8.2,82247.0,6.81
2015-09-30,5.4,5.2,5.25,5.35,5.35,29251.0,1.56
2015-06-30,5.35,5.05,5.15,5.15,5.13,28541.0,1.46
2015-03-31,5.75,6.35,5.75,6.35,6.3,102076.0,6.22
2014-12-31,3.4,3.85,3.4,3.5,3.55,63151.0,2.3
